X,Y
36.242069824678055,-3.3966013816598184
36.24966584060823,-3.38901867955841
36.2378641209427,-3.3847774812729106
36.232542618257156,-3.384006352316308
36.230353935701004,-3.387347906694309
36.22627697799837,-3.384177714359702
36.221599205476394,-3.38571997138627
36.21692143295442,-3.386790981765372
36.20752297256624,-3.403926986447922
36.2355037770096,-3.4096246405517343
36.212591945814346,-3.4163208413769324
36.200403988050674,-3.4194480890561256
36.19533997743056,-3.435041336043845
36.21718388764784,-3.436583511483003
36.19384861428318,-3.430765282194625
36.198984101227836,-3.443958548267302
36.200035527161674,-3.448799211936934
36.190656726525155,-3.390329356019163
36.18775994078907,-3.393028287046021
36.19271666304859,-3.3908220185941067
36.19445473449024,-3.400161139888433
36.196900909111825,-3.3923000048128316
36.21448352696302,-3.4020843176367044
36.219912318009165,-3.400263628104973
36.22255161167982,-3.4078462418332447
36.226628569382456,-3.407610624791413
36.220126894730356,-3.3950585790771592
36.21707990528944,-3.3941375180963558
36.214912680405405,-3.397136318063614
36.21478393437269,-3.391117288720673
36.21583536030653,-3.389596460427869
36.221907881516245,-3.3958725392127986
36.221628931778696,-3.3970292182251716
36.22302368046644,-3.3963866189449505
36.22293784977796,-3.3951870991441804
36.223881987351206,-3.395379879212654
36.225426939743784,-3.3978217567482702
36.22546985508802,-3.396022479162955
36.2326039647247,-3.39766669540075
36.23612302295224,-3.403342966701658
36.24134049918046,-3.3903301041665754
36.24265694789266,-3.3808751505617263
36.241090537827965,-3.3811107741246627
36.240060569566246,-3.380960831863961
36.23823666743612,-3.3810250928356713
36.23819375209188,-3.3818390647754444
36.23692774943685,-3.379290045105174
36.235082389634606,-3.377169426999257
36.233322860520836,-3.376676757483249
36.232571841996666,-3.376162667287009
36.23291516475057,-3.375541474603497
36.231820823472496,-3.3758842016504267
36.23091960124349,-3.3756485768186404
36.228623630326744,-3.3752415883382336
36.227379085343834,-3.3759270425227896
36.22679972819662,-3.376441132843759
36.2257697599349,-3.3769552228925868
36.22544789485311,-3.377276529034877
36.224868537705895,-3.3775549942721974
36.223387958329674,-3.378069083731236
36.22192883662557,-3.378711695172156
36.22149968318319,-3.379697031888436
36.21726972690446,-3.3765340464489513
36.21505958667619,-3.375698649619114
36.21349317661149,-3.374863252070815
36.21254903903825,-3.373085352333659
36.214673348578046,-3.372249952538972
36.21503812900407,-3.373342398279899
36.217183896215985,-3.3690368697182107
36.215445824774335,-3.367173276821242
36.21323568454606,-3.360037315540515
36.21156198612077,-3.3602515233701147
36.208987065466474,-3.3592019045558357
36.207463570746015,-3.3608084635070132
36.20503885379655,-3.3612154580213773
36.20405180087907,-3.3608298842751556
36.20439512363298,-3.3622008124582323
36.20201332202775,-3.3624150198127833
36.2057684146486,-3.3588163300140685
36.20310766330583,-3.357959497153828
36.203729935797284,-3.358666384317808
36.21512395969255,-3.3592019045558357
36.215960808905194,-3.3561815665704575
36.2203381740175,-3.358152284612931
36.220660039099286,-3.3539752144805015
36.223943062933515,-3.352261539518576
36.224908658178876,-3.3524543281016994
36.225423642309735,-3.3517474364444992
36.224198446431025,-3.3497353905662535
36.222084706917244,-3.3463988245963465
36.2216984688191,-3.3458418762523188
36.22036809314771,-3.3446422941287075
36.21596927036329,-3.3394583687960684
36.21011132587476,-3.343935396832803
36.21195668567701,-3.3484338254692108
36.21114129413648,-3.3486051937707404
36.20669955600782,-3.3461846137322566
36.20463961948438,-3.3453277698076804
36.20524043430372,-3.3442995561094873
36.20401734699293,-3.345541980859054
36.201292222633796,-3.3470628779774194
36.2001720358123,-3.355346386552201
36.19974288236992,-3.354318183377534
36.19873437178032,-3.353461346572503
36.19439992201225,-3.353996869663654
36.18819865476982,-3.3505052538328246
36.18916425001518,-3.3493699404795554
36.19341286909477,-3.355731962463808
36.192576019882125,-3.3562889051786478
36.197082131027145,-3.358216781354962
36.19652423155205,-3.3602517576337423
36.189834929100606,-3.365966962624909
36.18847236692104,-3.366309693045287
36.183880425087544,-3.370101140271951
36.189872873608905,-3.385561916542654
36.17350229479424,-3.3906246612594977
